"longname","name","sentencename","slug","regionslug","lowincome","P20pop","PercentinP20","MaximumIncomeConsumptionNP20","NationalP20Average","NationalRestAverage","GapBetweenNP20Rest2013","minimumincome","growinggap","stuntingtrends","birthregtrends","birthregtrends1","gap_1999","gap_2013","Year","nationalstunting","nationalP20stunting","restP20stunting","NP20Reg","restreg","SecondaryCompletion","nateducYear","p20educYear","secondarycompletionP20","secondarycompletionrest"
"Eritrea","Eritrea","Eritrea","eritrea","Africa",TRUE,,,,,,,,,,,,,,,,,,,,,,,,
"Estonia","Estonia","Estonia","estonia","Europe",FALSE,15662.196,1.18653,13,8.573669,29.3666101472603,20.7929411472603,6.58,"increasing","",,"",8.990115610274,20.7929411472603,,,,,,,89.3576507568359,2000,,,
"Ethiopia","Ethiopia","Ethiopia","ethiopia","Africa",TRUE,47651385.75,50.2175,1.6,1.1689856,3.75095223013699,2.58196663013699,0.87,"increasing","decreasing","decreased","decreasing",1.49705639666096,2.58196663013699,2016,38.4,44.6,36.6,1,3.75,12.5116901397705,2011,2016,4.14869,21.865785
"Fiji","Fiji","Fiji","fiji","Oceania",TRUE,56444.52,6.41415,3.56,2.75576396,8.44544257164383,5.68967861164383,2.37,"increasing","",,"",5.54319865582192,5.68967861164383,,,,,,,60.3034210205078,2007,,,
"Finland","Finland","Finland","finland","Europe",FALSE,0,0,29.8,22.8832561,55.7421996736301,32.8589435736301,19.75,"increasing","",,"",24.5660699486301,32.8589435736301,,,,,,,,,,,
"France","France","France","france","Europe",FALSE,0,0,27.925,20.8040551875,59.8283012716182,39.0242460841182,17.5,"increasing","",,"",29.4340258390411,39.0242460841182,,,,,,,83.2034301757813,2015,,,
"French Guiana","French Guiana","French Guiana","french-guiana","LAC",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
"Gabon","Gabon","Gabon","gabon","Africa",TRUE,306053.02,16.8161,2.75,1.973956875,7.98557927440068,6.01162239940068,1.61,"decreasing","",,"",6.76896872260274,6.01162239940068,2012,17,30.7,13.1,92,88.75,,,2012,14.40639,45.455705
"Gambia","Gambia","Gambia","gambia","Africa",TRUE,580344.18,31.2013,2.02,1.46221235,5.40698115907534,3.94476880907534,1.57,"increasing","decreasing","increased","increasing",2.49533776541096,3.94476880907534,2013,24.6,29.5,23.2,69,73,,,2013,27.24196,49.9319925
"Georgia","Georgia","Georgia","georgia","Asia",TRUE,507090.78,13.4151,3.04,2.13866432,8.13948460493151,6.00082028493151,1.68,"decreasing","","increased","increasing",4.19066866695205,6.00082028493151,,,,,99,100,96.9313735961914,2014,,,
"Germany","Germany","Germany","germany","Europe",FALSE,0,0,28.675,21.501977425,60.377108383476,38.875130958476,18.25,"increasing","",,"",34.4366286382705,38.875130958476,,,,,,,96.7161178588867,2015,,,
